Category: All categories

Region,drugs: (2015)
Hawaii,100
Vermont,64
Mississippi,62
Alabama,62
Kentucky,55
Arkansas,53
Louisiana,52
West Virginia,52
Washington,52
South Carolina,51
Tennessee,51
New Jersey,50
Michigan,49
South Dakota,49
Ohio,48
Georgia,48
Massachusetts,48
North Carolina,48
Pennsylvania,48
New York,48
Arizona,48
Oklahoma,47
Maryland,47
Indiana,47
Delaware,45
North Dakota,45
Florida,45
Iowa,44
Illinois,44
Missouri,44
Minnesota,44
Connecticut,44
District of Columbia,44
Maine,43
Montana,43
Texas,43
Wisconsin,43
New Hampshire,42
Colorado,42
Wyoming,42
Nevada,42
New Mexico,40
Alaska,40
Rhode Island,40
Kansas,39
Nebraska,39
Utah,39
California,39
Idaho,37
Oregon,35
Virginia,32
