Category: All categories

Region,drugs: (2013)
Hawaii,100
Mississippi,56
Vermont,56
Alabama,49
Louisiana,47
Tennessee,46
West Virginia,45
Pennsylvania,44
Washington,44
North Carolina,43
Massachusetts,43
Delaware,43
Michigan,43
Oklahoma,42
New York,42
Kentucky,42
South Carolina,42
New Jersey,42
Missouri,42
Indiana,41
Maryland,40
Georgia,40
Illinois,40
South Dakota,39
Ohio,39
Arizona,39
Arkansas,39
Florida,38
Virginia,38
Kansas,38
Texas,37
California,37
Connecticut,37
Montana,37
Minnesota,36
Rhode Island,36
North Dakota,36
Wyoming,36
District of Columbia,36
Wisconsin,36
Colorado,35
Maine,35
Iowa,35
New Hampshire,35
Nevada,34
Utah,34
Idaho,34
New Mexico,34
Alaska,34
Nebraska,33
Oregon,26
