"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	34	645169	5.3
	"Alabama"	"01"	"2000"	"2000"	32	644832	5.0
	"Alabama"	"01"	"2001"	"2001"	31	645481	4.8
	"Alabama"	"01"	"2002"	"2002"	31	645757	4.8
	"Alabama"	"01"	"2003"	"2003"	22	648297	3.4
	"Alabama"	"01"	"2004"	"2004"	32	651323	4.9
	"Alabama"	"01"	"2005"	"2005"	26	653781	4.0
	"Alabama"	"01"	"2006"	"2006"	35	658870	5.3
	"Alabama"	"01"	"2007"	"2007"	20	661686	3.0
	"Alabama"	"01"	"2008"	"2008"	24	665083	3.6
	"Alabama"	"01"	"2009"	"2009"	30	665683	4.5
	"Alabama"	"01"	"2010"	"2010"	36	663126	5.4
	"Alabama"	"01"	"2011"	"2011"	33	655606	5.0
	"Alabama"	"01"	"2012"	"2012"	37	644819	5.7
	"Alabama"	"01"	"2013"	"2013"	30	637220	4.7
	"Alabama"	"01"	"2014"	"2014"	32	632306	5.1
	"Alabama"	"01"	"2015"	"2015"	37	629274	5.9
	"Alabama"	"01"	"2016"	"2016"	39	626927	6.2
	"Alabama"	"01"	"2017"	"2017"	38	627266	6.1
	"Alabama"	"01"	"2018"	"2018"	50	626175	8.0
	"Alabama"	"01"	"2019"	"2019"	46	624113	7.4
	"Alabama"	"01"	"2020 "	"2020"	33	620337	5.3
	"Alaska"	"02"	"1999"	"1999"	17	105610	Unreliable
	"Alaska"	"02"	"2000"	"2000"	28	106755	26.2
	"Alaska"	"02"	"2001"	"2001"	20	109455	18.3
	"Alaska"	"02"	"2002"	"2002"	14	111102	Unreliable
	"Alaska"	"02"	"2003"	"2003"	22	111008	19.8
	"Alaska"	"02"	"2004"	"2004"	27	111034	24.3
	"Alaska"	"02"	"2005"	"2005"	13	109408	Unreliable
	"Alaska"	"02"	"2006"	"2006"	17	108364	Unreliable
	"Alaska"	"02"	"2007"	"2007"	15	106396	Unreliable
	"Alaska"	"02"	"2008"	"2008"	20	104688	19.1
	"Alaska"	"02"	"2009"	"2009"	10	104166	Unreliable
	"Alaska"	"02"	"2010"	"2010"	21	102957	20.4
	"Alaska"	"02"	"2012"	"2012"	12	100332	Unreliable
	"Alaska"	"02"	"2013"	"2013"	18	99908	Unreliable
	"Alaska"	"02"	"2014"	"2014"	18	98952	Unreliable
	"Alaska"	"02"	"2015"	"2015"	23	97215	23.7
	"Alaska"	"02"	"2016"	"2016"	18	98046	Unreliable
	"Alaska"	"02"	"2017"	"2017"	20	96265	20.8
	"Alaska"	"02"	"2018"	"2018"	20	96022	20.8
	"Alaska"	"02"	"2019"	"2019"	32	94176	34.0
	"Alaska"	"02"	"2020 "	"2020"	17	93876	Unreliable
	"Arizona"	"04"	"1999"	"1999"	39	723853	5.4
	"Arizona"	"04"	"2000"	"2000"	51	745933	6.8
	"Arizona"	"04"	"2001"	"2001"	58	764295	7.6
	"Arizona"	"04"	"2002"	"2002"	54	781774	6.9
	"Arizona"	"04"	"2003"	"2003"	48	800366	6.0
	"Arizona"	"04"	"2004"	"2004"	50	820675	6.1
	"Arizona"	"04"	"2005"	"2005"	78	844744	9.2
	"Arizona"	"04"	"2006"	"2006"	70	868550	8.1
	"Arizona"	"04"	"2007"	"2007"	44	887425	5.0
	"Arizona"	"04"	"2008"	"2008"	64	900838	7.1
	"Arizona"	"04"	"2009"	"2009"	53	907472	5.8
	"Arizona"	"04"	"2010"	"2010"	49	910246	5.4
	"Arizona"	"04"	"2011"	"2011"	64	903716	7.1
	"Arizona"	"04"	"2012"	"2012"	62	901809	6.9
	"Arizona"	"04"	"2013"	"2013"	44	906527	4.9
	"Arizona"	"04"	"2014"	"2014"	65	911839	7.1
	"Arizona"	"04"	"2015"	"2015"	75	918445	8.2
	"Arizona"	"04"	"2016"	"2016"	64	925528	6.9
	"Arizona"	"04"	"2017"	"2017"	78	933210	8.4
	"Arizona"	"04"	"2018"	"2018"	98	950215	10.3
	"Arizona"	"04"	"2019"	"2019"	66	955118	6.9
	"Arizona"	"04"	"2020 "	"2020"	87	960140	9.1
	"Arkansas"	"05"	"1999"	"1999"	30	393151	7.6
	"Arkansas"	"05"	"2000"	"2000"	22	391700	5.6
	"Arkansas"	"05"	"2001"	"2001"	24	390655	6.1
	"Arkansas"	"05"	"2002"	"2002"	21	390027	5.4
	"Arkansas"	"05"	"2003"	"2003"	14	390291	Unreliable
	"Arkansas"	"05"	"2004"	"2004"	13	390810	Unreliable
	"Arkansas"	"05"	"2005"	"2005"	31	391904	7.9
	"Arkansas"	"05"	"2006"	"2006"	23	394859	5.8
	"Arkansas"	"05"	"2007"	"2007"	18	396812	Unreliable
	"Arkansas"	"05"	"2008"	"2008"	25	398658	6.3
	"Arkansas"	"05"	"2009"	"2009"	24	399413	6.0
	"Arkansas"	"05"	"2010"	"2010"	21	401364	5.2
	"Arkansas"	"05"	"2011"	"2011"	24	396123	6.1
	"Arkansas"	"05"	"2012"	"2012"	27	394644	6.8
	"Arkansas"	"05"	"2013"	"2013"	28	394044	7.1
	"Arkansas"	"05"	"2014"	"2014"	32	393298	8.1
	"Arkansas"	"05"	"2015"	"2015"	22	394736	5.6
	"Arkansas"	"05"	"2016"	"2016"	29	396631	7.3
	"Arkansas"	"05"	"2017"	"2017"	48	397485	12.1
	"Arkansas"	"05"	"2018"	"2018"	30	398493	7.5
	"Arkansas"	"05"	"2019"	"2019"	33	397717	8.3
	"Arkansas"	"05"	"2020 "	"2020"	41	397553	10.3
	"California"	"06"	"1999"	"1999"	133	4901007	2.7
	"California"	"06"	"2000"	"2000"	149	5021710	3.0
	"California"	"06"	"2001"	"2001"	135	5153448	2.6
	"California"	"06"	"2002"	"2002"	139	5255006	2.6
	"California"	"06"	"2003"	"2003"	144	5341372	2.7
	"California"	"06"	"2004"	"2004"	179	5415876	3.3
	"California"	"06"	"2005"	"2005"	155	5459025	2.8
	"California"	"06"	"2006"	"2006"	166	5478529	3.0
	"California"	"06"	"2007"	"2007"	137	5475014	2.5
	"California"	"06"	"2008"	"2008"	153	5464167	2.8
	"California"	"06"	"2009"	"2009"	166	5440872	3.1
	"California"	"06"	"2010"	"2010"	180	5414870	3.3
	"California"	"06"	"2011"	"2011"	191	5325505	3.6
	"California"	"06"	"2012"	"2012"	149	5255464	2.8
	"California"	"06"	"2013"	"2013"	181	5187609	3.5
	"California"	"06"	"2014"	"2014"	162	5149554	3.1
	"California"	"06"	"2015"	"2015"	202	5122288	3.9
