"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	50	626175	8.0
	"Alabama"	"01"	"2019"	"2019"	46	624113	7.4
	"Alabama"	"01"	"2020"	"2020"	33	620337	5.3
	"Alabama"	"01"	"2021 "	"2021"	51	650347	7.8
"Total"	"Alabama"	"01"			180	2520972	7.1
	"Alaska"	"02"	"2018"	"2018"	20	96022	20.8
	"Alaska"	"02"	"2019"	"2019"	32	94176	34.0
	"Alaska"	"02"	"2020"	"2020"	17	93876	Unreliable
	"Alaska"	"02"	"2021 "	"2021"	20	96601	20.7
"Total"	"Alaska"	"02"			89	380675	23.4
	"Arizona"	"04"	"2018"	"2018"	98	950215	10.3
	"Arizona"	"04"	"2019"	"2019"	66	955118	6.9
	"Arizona"	"04"	"2020"	"2020"	87	960140	9.1
	"Arizona"	"04"	"2021 "	"2021"	84	960185	8.7
"Total"	"Arizona"	"04"			335	3825658	8.8
	"Arkansas"	"05"	"2018"	"2018"	30	398493	7.5
	"Arkansas"	"05"	"2019"	"2019"	33	397717	8.3
	"Arkansas"	"05"	"2020"	"2020"	41	397553	10.3
	"Arkansas"	"05"	"2021 "	"2021"	25	406733	6.1
"Total"	"Arkansas"	"05"			129	1600496	8.1
	"California"	"06"	"2018"	"2018"	200	5093348	3.9
	"California"	"06"	"2019"	"2019"	184	5062831	3.6
	"California"	"06"	"2020"	"2020"	223	5018826	4.4
	"California"	"06"	"2021 "	"2021"	212	5140887	4.1
"Total"	"California"	"06"			819	20315892	4.0
	"Colorado"	"08"	"2018"	"2018"	94	728742	12.9
	"Colorado"	"08"	"2019"	"2019"	103	728987	14.1
	"Colorado"	"08"	"2020"	"2020"	102	727811	14.0
	"Colorado"	"08"	"2021 "	"2021"	94	740094	12.7
"Total"	"Colorado"	"08"			393	2925634	13.4
	"Connecticut"	"09"	"2018"	"2018"	15	459801	Unreliable
	"Connecticut"	"09"	"2019"	"2019"	23	453134	5.1
	"Connecticut"	"09"	"2020"	"2020"	16	445128	Unreliable
	"Connecticut"	"09"	"2021 "	"2021"	23	457657	5.0
"Total"	"Connecticut"	"09"			77	1815720	4.2
	"Delaware"	"10"	"2021 "	"2021"	10	123453	Unreliable
"Total"	"Delaware"	"10"			27	477947	5.6
	"Florida"	"12"	"2018"	"2018"	139	2412669	5.8
	"Florida"	"12"	"2019"	"2019"	129	2408483	5.4
	"Florida"	"12"	"2020"	"2020"	148	2414379	6.1
	"Florida"	"12"	"2021 "	"2021"	130	2479705	5.2
"Total"	"Florida"	"12"			546	9715236	5.6
	"Georgia"	"13"	"2018"	"2018"	95	1456128	6.5
	"Georgia"	"13"	"2019"	"2019"	89	1459536	6.1
	"Georgia"	"13"	"2020"	"2020"	107	1458842	7.3
	"Georgia"	"13"	"2021 "	"2021"	128	1500638	8.5
"Total"	"Georgia"	"13"			419	5875144	7.1
	"Hawaii"	"15"	"2019"	"2019"	15	158163	Unreliable
"Total"	"Hawaii"	"15"			38	633887	6.0
	"Idaho"	"16"	"2018"	"2018"	39	255542	15.3
	"Idaho"	"16"	"2019"	"2019"	27	256656	10.5
	"Idaho"	"16"	"2020"	"2020"	36	259911	13.9
	"Idaho"	"16"	"2021 "	"2021"	34	275056	12.4
"Total"	"Idaho"	"16"			136	1047165	13.0
	"Illinois"	"17"	"2018"	"2018"	85	1647353	5.2
	"Illinois"	"17"	"2019"	"2019"	76	1628648	4.7
	"Illinois"	"17"	"2020"	"2020"	98	1608019	6.1
	"Illinois"	"17"	"2021 "	"2021"	90	1657075	5.4
"Total"	"Illinois"	"17"			349	6541095	5.3
	"Indiana"	"18"	"2018"	"2018"	84	904243	9.3
	"Indiana"	"18"	"2019"	"2019"	48	904788	5.3
	"Indiana"	"18"	"2020"	"2020"	83	899619	9.2
	"Indiana"	"18"	"2021 "	"2021"	83	926086	9.0
"Total"	"Indiana"	"18"			298	3634736	8.2
	"Iowa"	"19"	"2018"	"2018"	32	422686	7.6
	"Iowa"	"19"	"2019"	"2019"	36	420543	8.6
	"Iowa"	"19"	"2020"	"2020"	32	420998	7.6
	"Iowa"	"19"	"2021 "	"2021"	36	435060	8.3
"Total"	"Iowa"	"19"			136	1699287	8.0
	"Kansas"	"20"	"2018"	"2018"	51	400720	12.7
	"Kansas"	"20"	"2019"	"2019"	44	400397	11.0
	"Kansas"	"20"	"2020"	"2020"	44	399569	11.0
	"Kansas"	"20"	"2021 "	"2021"	48	412379	11.6
"Total"	"Kansas"	"20"			187	1613065	11.6
	"Kentucky"	"21"	"2018"	"2018"	48	572893	8.4
	"Kentucky"	"21"	"2019"	"2019"	39	569907	6.8
	"Kentucky"	"21"	"2020"	"2020"	46	567739	8.1
	"Kentucky"	"21"	"2021 "	"2021"	42	586389	7.2
"Total"	"Kentucky"	"21"			175	2296928	7.6
	"Louisiana"	"22"	"2018"	"2018"	40	603371	6.6
	"Louisiana"	"22"	"2019"	"2019"	42	600579	7.0
	"Louisiana"	"22"	"2020"	"2020"	41	596490	6.9
	"Louisiana"	"22"	"2021 "	"2021"	47	609433	7.7
"Total"	"Louisiana"	"22"			170	2409873	7.1
	"Maine"	"23"	"2018"	"2018"	16	150626	Unreliable
	"Maine"	"23"	"2019"	"2019"	12	150197	Unreliable
	"Maine"	"23"	"2020"	"2020"	13	148897	Unreliable
	"Maine"	"23"	"2021 "	"2021"	11	153399	Unreliable
"Total"	"Maine"	"23"			52	603119	8.6
	"Maryland"	"24"	"2018"	"2018"	33	760010	4.3
	"Maryland"	"24"	"2019"	"2019"	39	757229	5.2
	"Maryland"	"24"	"2020"	"2020"	40	755284	5.3
	"Maryland"	"24"	"2021 "	"2021"	43	788727	5.5
"Total"	"Maryland"	"24"			155	3061250	5.1
	"Massachusetts"	"25"	"2018"	"2018"	28	844548	3.3
	"Massachusetts"	"25"	"2019"	"2019"	19	832419	Unreliable
	"Massachusetts"	"25"	"2020"	"2020"	30	824777	3.6
	"Massachusetts"	"25"	"2021 "	"2021"	27	852355	3.2
"Total"	"Massachusetts"	"25"			104	3354099	3.1
	"Michigan"	"26"	"2018"	"2018"	115	1273169	9.0
	"Michigan"	"26"	"2019"	"2019"	92	1254923	7.3
	"Michigan"	"26"	"2020"	"2020"	76	1238443	6.1
	"Michigan"	"26"	"2021 "	"2021"	84	1273416	6.6
"Total"	"Michigan"	"26"			367	5039951	7.3
	"Minnesota"	"27"	"2018"	"2018"	51	728461	7.0
	"Minnesota"	"27"	"2019"	"2019"	58	730878	7.9
	"Minnesota"	"27"	"2020"	"2020"	49	731651	6.7
	"Minnesota"	"27"	"2021 "	"2021"	47	757349	6.2
"Total"	"Minnesota"	"27"			205	2948339	7.0
	"Mississippi"	"28"	"2018"	"2018"	31	412860	7.5
	"Mississippi"	"28"	"2019"	"2019"	30	407632	7.4
	"Mississippi"	"28"	"2020"	"2020"	20	402683	5.0
	"Mississippi"	"28"	"2021 "	"2021"	27	409594	6.6
"Total"	"Mississippi"	"28"			108	1632769	6.6
	"Missouri"	"29"	"2018"	"2018"	94	783327	12.0
	"Missouri"	"29"	"2019"	"2019"	61	780786	7.8
	"Missouri"	"29"	"2020"	"2020"	53	778428	6.8
	"Missouri"	"29"	"2021 "	"2021"	71	800527	8.9
"Total"	"Missouri"	"29"			279	3143068	8.9
	"Montana"	"30"	"2018"	"2018"	24	129304	18.6
	"Montana"	"30"	"2019"	"2019"	23	129384	17.8
	"Montana"	"30"	"2020"	"2020"	16	130639	Unreliable
	"Montana"	"30"	"2021 "	"2021"	41	137096	29.9
"Total"	"Montana"	"30"			104	526423	19.8
	"Nebraska"	"31"	"2018"	"2018"	21	265061	7.9
	"Nebraska"	"31"	"2019"	"2019"	18	266584	Unreliable
