Feature,Importance
how_to_do_better_in_school,0.044921714966346116
hate_myself,0.043475056500879905
bulemia,0.04185821171209603
exboyfriend,0.03663171291324718
Cant_sleep,0.0355460239296399
Obsessive_compulsive_personality_disorder,0.03545913699680292
Obsessive_compulsive,0.0328985954185228
hospital_visit,0.030367073482266083
im_stupid,0.02957369729187387
Abusive_parents,0.028333938321420726
Dependent_personality_disorder,0.028106390312498064
noose,0.027057614745536585
academic_stress,0.026849922492298006
disappointment,0.026433613136301215
friends_hate me,0.02599632068642177
marijuana,0.02569356247093313
Paranoid_personality_disorder,0.025297280540449663
parents_divorce,0.023549032708492623
Histrionic_personality,0.02268019206332217
trauma,0.021012119063603674
Avoidant_personality,0.020654544401658592
Obsessive_compulsive_personality,0.02032644316769283
feeling_alone,0.020314123629458614
ocd,0.020314123629458614
molestation,0.019388595659322716
Dependent,0.019182391609098293
depression,0.019019849075885276
cigarettes,0.019019849075885276
kill_yourself,0.019019849075885276
drugs,0.019019849075885276
Borderline,0.01843681594783253
Jesus,0.017689479131130614
Paranoid,0.017516689497486304
time_to_die,0.01730499269348118
illegal_drugs,0.017204568790909702
Paranoid_personality,0.01668710777530702
sad_music,0.01664803476467669
ptsd,0.01578079541447064
stress,0.015422821781180929
Eating_disorder,0.015217911492068525
Dependent_personality,0.015177771547681518
kill_myself,0.014378124350556076
lesbian,0.013858971640250184
mental_health,0.01375847635435723
guns,0.01375847635435723
Histrionic_personality_disorder,0.012952260299919471
tylenol_overdose,0.012891963460078815
Avoidant,0.012322249703552668
child_abuse,0.01215123260560591
Antisocial_personality,0.011672132804335433
firearms,0.011546693401362385
miss_my_ex,0.009991534114117684
existential_crisis,0.009960350902565862
breakup,0.009879507475713867
Coping_with_stress,0.009184546462062126
feeling_sad,0.008787280622330584
Borderline_personality_disorder,0.008747775455353324
gender_dysphoria,0.007980228619039798
how_to die,0.007226060629494491
failure,0.005632141862303541
sin,0.004857456559687501
carbon_monoxide_poisoning,0.0047987583634951925
Suicide_hotline,0.00479875836349497
i_want_to_die,0.004739023579941826
hope,0.004562540293938655
Narcissism,0.0039048235186167624
suicide_attempt,0.003008584688250826
Divorce,0.002214401003919564
how_long_does_it_take_to_bleed_out,0.002035760385124874
School_stress,0.0017583805116110351
Antisocial,0.0014568170867867991
faith,0.001456817086786577
parents_hate_me,0.0013591950840672329
abuse,0.00129427455357356
sexual_abuse,0.00129427455357356
worthless,0.00129427455357356
therapy,0.00129427455357356
advil,0.00129427455357356
self_harm,0.00129427455357356
smoking,0.00129427455357356
moving,0.00129427455357356
gender_identity,0.001237304121510352
lonely,0.00018853798991891324
angry_father,0.00017832942017670383
gay,0.00016254253321323908
Antisocial_personality_disorder,0.00016254253321323908
failed_test,0.0
single,0.0
jumping,0.0
alcohol,0.0
bipolar,0.0
poisoning,0.0
trans,0.0
Prev_Year_Suicide_Rate,0.0
therapy_near_me,-0.0002917927474404003
painless_death,-0.0007448662931741623
Avoidant_personality_disorder,-0.003403484324786765
tie_a_noose,-0.0035528328922103114
Cutting,-0.003597027294704125
I_hate_my_parents,-0.003742699032422303
weed,-0.003973793448856178
Histrionic,-0.004128779370571323
self-injury,-0.004408297628385238
Bullying,-0.004442239991558239
suicidal_friend,-0.0048832889567689275
suicide,-0.004891301848277463
no_friends,-0.004891301848277463
conversion_therapy,-0.005085230307483313
drug_policy,-0.0051448032464120885
Narcissistic_personality,-0.005228981621943296
exgirlfriend,-0.006757426186130289
fast_death,-0.006786704517119713
transphobia,-0.007570790877043931
hanging,-0.008220215149825183
anxiety,-0.009140341600171409
Fitting_in,-0.010246078163826056
tylenol,-0.010246078163826056
Borderline_personality,-0.01027207362053173
antidepressants,-0.010434616153744747
Narcissistic_personality_disorder,-0.010434616153744747
overdose,-0.010434616153744747
guilty,-0.010434616153744747
crazy_ex,-0.011349062458328119
coming_out,-0.014031643448448872
hell,-0.014251156413725097
anorexia,-0.014251156413725097
homophobia,-0.015137380012103518
family_stress,-0.01518223468915414
queer,-0.015325918002022432
