Category: All categories

Region,antidepressants: (2020)
West Virginia,100
Idaho,96
South Dakota,96
Utah,95
Montana,93
North Dakota,90
Wyoming,90
Maine,90
New Hampshire,86
Oregon,84
Vermont,82
Kentucky,82
Oklahoma,82
Indiana,78
Nebraska,78
Minnesota,77
Iowa,77
Alabama,76
Arkansas,75
Kansas,75
Connecticut,75
Colorado,73
Wisconsin,73
Tennessee,72
Washington,72
Missouri,71
Pennsylvania,71
New Mexico,70
Massachusetts,69
Michigan,68
Ohio,68
South Carolina,68
Mississippi,67
Maryland,66
Nevada,66
Texas,65
Arizona,65
Louisiana,65
Illinois,64
Rhode Island,64
Virginia,63
California,61
North Carolina,60
Florida,60
Alaska,59
Delaware,58
New Jersey,57
New York,56
Georgia,55
Hawaii,52
District of Columbia,50
