Category: All categories

Region,antidepressants: (2019)
Wyoming,100
Idaho,91
West Virginia,91
Utah,90
Vermont,87
Montana,86
Kentucky,85
Oregon,85
Nebraska,83
Arkansas,83
Maine,82
New Hampshire,81
Iowa,80
North Dakota,78
Indiana,78
Rhode Island,78
Minnesota,77
Mississippi,77
Kansas,75
Tennessee,75
Missouri,74
Wisconsin,74
Oklahoma,73
Colorado,73
Delaware,73
South Dakota,73
Washington,72
Connecticut,72
New Mexico,71
Alaska,70
Michigan,70
Ohio,70
Alabama,69
Louisiana,68
Massachusetts,68
Illinois,68
Pennsylvania,67
Texas,66
Arizona,66
South Carolina,64
North Carolina,64
Florida,63
Virginia,62
Maryland,62
New York,62
Nevada,61
California,61
Georgia,58
New Jersey,58
District of Columbia,54
Hawaii,51
