Category: All categories

Region,antidepressants: (2013)
South Dakota,100
Idaho,98
Maine,97
West Virginia,92
Wyoming,89
New Hampshire,86
Vermont,85
Montana,84
Tennessee,84
Utah,81
Arkansas,81
Nebraska,80
Rhode Island,80
New Mexico,80
Iowa,80
Indiana,79
Minnesota,79
Oklahoma,79
Alabama,78
Louisiana,77
Pennsylvania,77
Alaska,77
Washington,77
Colorado,76
South Carolina,76
North Dakota,76
Wisconsin,74
Michigan,74
Connecticut,74
Kansas,73
Kentucky,72
Delaware,70
Ohio,70
Mississippi,69
Virginia,68
Massachusetts,68
North Carolina,68
Missouri,67
New Jersey,66
Arizona,65
California,61
Maryland,60
Illinois,59
Georgia,59
Nevada,58
Florida,56
District of Columbia,55
New York,55
Texas,54
Hawaii,51
Oregon,47
