Category: All categories

Region,hospital visit: (2011)
North Dakota,
Vermont,
Mississippi,100
Maine,
Idaho,
Rhode Island,90
Kansas,86
New Mexico,77
Utah,77
Arizona,72
Illinois,72
North Carolina,63
Ohio,63
Virginia,63
Kentucky,63
Maryland,63
Louisiana,63
Massachusetts,63
Wisconsin,59
Pennsylvania,59
Indiana,54
Florida,54
Colorado,54
New Jersey,54
Michigan,54
Alabama,54
New Hampshire,54
New York,50
Missouri,50
Nebraska,50
Washington,50
District of Columbia,
Texas,50
Georgia,45
Connecticut,45
California,45
South Carolina,45
Tennessee,40
Hawaii,
Iowa,31
Oregon,31
Minnesota,27
Arkansas,27
Nevada,27
Alaska,
Delaware,
Montana,
Oklahoma,
South Dakota,
West Virginia,
Wyoming,
