Category: All categories

Region,hospital visit: (2018)
Delaware,
South Dakota,
Idaho,
Wyoming,
New Jersey,100
Massachusetts,100
Maryland,100
Rhode Island,100
New Hampshire,96
Illinois,92
New York,92
Alabama,88
Florida,88
Utah,88
South Carolina,85
North Carolina,85
Nevada,85
Alaska,
Michigan,85
Georgia,81
Missouri,81
Ohio,81
Pennsylvania,81
California,77
Iowa,77
Minnesota,77
Indiana,77
Mississippi,77
Virginia,77
Tennessee,77
Arizona,74
Connecticut,74
Colorado,70
Montana,
Wisconsin,70
Louisiana,66
Oklahoma,66
New Mexico,66
Kentucky,66
Vermont,
Texas,62
Kansas,62
Washington,62
Nebraska,55
Maine,
Oregon,55
Hawaii,
North Dakota,
District of Columbia,
Arkansas,37
West Virginia,29
