Category: All categories

Region,hospital visit: (2005)
North Dakota,
Rhode Island,100
Mississippi,81
Kentucky,74
Oklahoma,27
Maryland,26
Indiana,22
North Carolina,19
Connecticut,14
New Jersey,12
Washington,11
Pennsylvania,11
Virginia,10
Florida,9
Illinois,8
Ohio,6
New York,6
Massachusetts,4
California,4
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
District of Columbia,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Maine,
Michigan,
Minnesota,
Missouri,
Montana,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oregon,
South Carolina,
South Dakota,
Tennessee,
Texas,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
