Category: All categories

Region,hospital visit: (2004)
Montana,
New Hampshire,100
Kentucky,65
New Mexico,63
Nebraska,53
Utah,30
Indiana,18
New Jersey,17
Missouri,17
Georgia,14
Ohio,11
New York,8
Florida,5
Massachusetts,5
Texas,3
Alaska,
Alabama,
Arkansas,
Arizona,
California,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Illinois,
Kansas,
Louisiana,
Maryland,
Maine,
Michigan,
Minnesota,
Mississippi,
North Carolina,
North Dakota,
Nevada,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
