Category: All categories

Region,hospital visit: (2014)
Kentucky,100
Utah,95
North Carolina,91
Iowa,87
West Virginia,87
Pennsylvania,83
Maine,
Maryland,83
South Dakota,
Florida,83
Massachusetts,79
Arizona,79
Hawaii,
Indiana,79
Tennessee,79
Connecticut,75
New Jersey,75
Illinois,75
Washington,75
Vermont,
South Carolina,70
New York,70
Idaho,
Wyoming,
Alabama,70
North Dakota,
Ohio,66
Rhode Island,62
California,62
Texas,62
Minnesota,62
New Hampshire,62
Missouri,58
Nevada,58
Michigan,58
Georgia,54
Virginia,54
District of Columbia,
Wisconsin,50
Oklahoma,50
Louisiana,50
Kansas,45
Arkansas,41
Colorado,41
Delaware,
Mississippi,33
Nebraska,33
Alaska,
Oregon,29
New Mexico,25
Montana,
