Category: All categories

Region,hospital visit: (2017)
Delaware,
Connecticut,100
Idaho,
Wyoming,
Massachusetts,86
Rhode Island,86
Arkansas,86
New Jersey,86
New Hampshire,82
Pennsylvania,82
Kentucky,82
Illinois,79
District of Columbia,
West Virginia,75
New York,75
Maryland,75
Nevada,75
Ohio,72
Arizona,72
Mississippi,72
Wisconsin,68
Michigan,68
Georgia,68
North Carolina,65
Colorado,65
Alabama,65
Florida,65
Utah,65
Tennessee,65
Virginia,62
Louisiana,62
California,58
Washington,58
Missouri,58
South Carolina,58
Minnesota,58
North Dakota,
Texas,58
Nebraska,55
Maine,
Indiana,51
Oregon,51
Iowa,51
Oklahoma,51
Alaska,
Hawaii,
South Dakota,
Montana,
Kansas,31
New Mexico,13
Vermont,
