Category: All categories

Region,hospital visit: (2009)
West Virginia,100
Wyoming,
Idaho,
New Hampshire,65
Kentucky,38
Mississippi,30
Indiana,28
Oregon,26
Nebraska,22
Maryland,21
Connecticut,19
Ohio,17
Illinois,17
Oklahoma,17
District of Columbia,
Florida,15
New Jersey,15
Pennsylvania,14
Hawaii,
South Carolina,14
Massachusetts,14
Missouri,13
New York,13
Arkansas,13
Tennessee,13
Texas,11
Michigan,11
Minnesota,11
Georgia,11
Washington,10
Kansas,10
Louisiana,10
California,9
North Carolina,7
Virginia,7
Colorado,6
Wisconsin,6
Alaska,
Alabama,
Arizona,
Delaware,
Iowa,
Maine,
Montana,
North Dakota,
New Mexico,
Nevada,
Rhode Island,
South Dakota,
Utah,
Vermont,
