Category: All categories

Region,hospital visit: (2012)
West Virginia,100
Wyoming,
Idaho,
Montana,
New Mexico,61
Nevada,61
Vermont,
Delaware,
Connecticut,55
Mississippi,55
Tennessee,52
Florida,52
New Jersey,50
New Hampshire,50
Missouri,50
Pennsylvania,47
Kentucky,47
Nebraska,44
Rhode Island,44
Colorado,44
Massachusetts,44
New York,44
North Carolina,41
District of Columbia,
Illinois,38
Virginia,38
Minnesota,36
Oklahoma,36
Hawaii,
South Carolina,36
Oregon,36
Georgia,36
Maryland,33
Washington,33
Arizona,33
Ohio,33
Maine,
Michigan,33
Utah,33
California,30
Arkansas,30
Texas,30
Indiana,30
Kansas,27
Louisiana,27
Iowa,25
Wisconsin,19
Alabama,19
Alaska,
North Dakota,
South Dakota,
