Category: All categories

Region,poisoning: (2014)
Wyoming,100
West Virginia,93
Maine,86
Alaska,85
Ohio,84
Hawaii,84
Montana,83
Idaho,82
Nebraska,81
Utah,80
Colorado,79
Mississippi,79
New Hampshire,78
Michigan,78
Tennessee,78
Vermont,78
North Dakota,78
New Mexico,78
South Dakota,77
Nevada,77
North Carolina,77
Missouri,76
Alabama,76
Arkansas,76
Indiana,75
Pennsylvania,75
Oklahoma,75
Florida,74
Washington,74
Iowa,74
Minnesota,74
Rhode Island,73
Wisconsin,73
Illinois,72
Kentucky,72
Massachusetts,71
New York,70
California,69
New Jersey,68
Delaware,67
Georgia,66
South Carolina,65
Kansas,65
Maryland,65
Louisiana,64
Texas,64
Connecticut,64
Arizona,63
District of Columbia,61
Virginia,55
Oregon,46
