Category: All categories

Region,poisoning: (2005)
Vermont,100
New Mexico,91
New Hampshire,91
Alaska,86
Oregon,84
Kentucky,79
Maine,78
North Dakota,77
Nebraska,77
Ohio,74
Oklahoma,73
Indiana,72
Connecticut,72
Delaware,71
Michigan,71
Iowa,71
Pennsylvania,71
Rhode Island,70
Montana,70
Kansas,70
Idaho,69
Mississippi,68
Missouri,68
Maryland,68
North Carolina,67
Wisconsin,67
Minnesota,66
Alabama,65
Washington,64
Colorado,64
Massachusetts,63
Tennessee,62
Illinois,62
District of Columbia,62
Virginia,62
Louisiana,61
Hawaii,61
Arkansas,58
South Dakota,58
Georgia,57
Nevada,56
Florida,56
Arizona,56
West Virginia,56
Texas,55
New Jersey,55
New York,55
Wyoming,55
Utah,53
California,51
South Carolina,51
