Category: All categories

Region,poisoning: (2007)
Montana,100
Vermont,91
West Virginia,89
New Mexico,81
Rhode Island,80
Hawaii,79
Maine,79
Kentucky,76
Iowa,76
New Hampshire,75
Alaska,74
Kansas,73
Utah,73
Oklahoma,73
Delaware,72
Indiana,71
Idaho,71
Maryland,71
Nebraska,70
Arkansas,70
Tennessee,69
Ohio,69
Alabama,69
Wyoming,68
North Carolina,68
Missouri,68
Colorado,68
Michigan,67
Minnesota,66
Connecticut,65
North Dakota,65
South Dakota,65
Oregon,64
Washington,64
Wisconsin,64
South Carolina,63
Massachusetts,63
Pennsylvania,63
Mississippi,62
Virginia,62
Louisiana,61
New Jersey,60
Nevada,59
Florida,59
Illinois,59
District of Columbia,58
Arizona,58
California,57
Georgia,57
New York,53
Texas,53
