Category: All categories

Region,therapy: (2010)
Pennsylvania,100
North Dakota,98
West Virginia,98
New Mexico,97
Colorado,97
Oregon,96
Delaware,96
Connecticut,96
Montana,94
Washington,94
North Carolina,93
Arizona,91
Tennessee,91
Maryland,90
Rhode Island,90
South Dakota,90
Louisiana,89
Nebraska,88
Indiana,88
Minnesota,87
New Hampshire,87
Missouri,87
Maine,87
Wyoming,86
Massachusetts,85
Wisconsin,85
Utah,84
New York,83
Idaho,83
South Carolina,82
Illinois,82
Michigan,81
Kansas,81
Florida,81
Arkansas,80
New Jersey,80
Oklahoma,79
Ohio,79
Iowa,79
Alaska,78
Kentucky,78
Alabama,77
District of Columbia,75
Mississippi,74
Texas,73
Nevada,70
Georgia,68
Hawaii,67
Vermont,57
California,54
Virginia,35
