Category: All categories

Region,therapy: (2014)
Rhode Island,100
Idaho,98
Maine,97
Connecticut,95
Colorado,93
Maryland,91
Massachusetts,91
Utah,91
New Hampshire,90
New Mexico,90
New Jersey,89
Arizona,89
Montana,88
Nebraska,88
Delaware,87
Wyoming,87
West Virginia,87
Washington,87
Vermont,86
Pennsylvania,86
Arkansas,83
Indiana,83
Tennessee,83
North Dakota,83
Louisiana,82
Wisconsin,81
New York,80
Alaska,80
Minnesota,80
North Carolina,79
Iowa,79
Oklahoma,79
Alabama,78
South Carolina,78
Kentucky,77
South Dakota,77
Michigan,77
Missouri,76
Illinois,76
Ohio,75
Mississippi,74
District of Columbia,72
Nevada,71
Florida,71
California,70
Texas,67
Hawaii,63
Georgia,62
Virginia,61
Kansas,60
Oregon,54
