Category: All categories

Region,therapy: (2008)
Vermont,100
Pennsylvania,96
Colorado,92
New Mexico,92
West Virginia,90
New Hampshire,88
Connecticut,88
Delaware,87
Maine,87
Montana,86
Massachusetts,85
South Dakota,85
Tennessee,85
North Dakota,84
Wyoming,82
Minnesota,82
Oregon,82
Washington,82
Rhode Island,81
Nebraska,81
North Carolina,81
Idaho,81
Wisconsin,80
Maryland,80
New York,79
Illinois,78
Arizona,78
Indiana,77
Arkansas,77
Ohio,76
Missouri,75
Kentucky,72
Iowa,71
New Jersey,71
Mississippi,71
Utah,71
Michigan,70
Alaska,70
Louisiana,70
Oklahoma,69
Texas,68
Florida,68
Georgia,67
Kansas,67
South Carolina,67
Alabama,67
Hawaii,66
District of Columbia,66
California,63
Nevada,60
Virginia,53
