Category: All categories

Region,illegal drugs: (2005)
West Virginia,100
Arkansas,93
Montana,91
South Carolina,80
Kentucky,79
Wyoming,
Vermont,
New Mexico,68
Mississippi,67
Louisiana,64
Iowa,63
Hawaii,61
Alaska,
Rhode Island,58
Indiana,57
Nevada,54
Kansas,51
Missouri,50
Utah,50
Georgia,45
Ohio,43
North Dakota,
Texas,42
Arizona,41
Maryland,40
Wisconsin,39
Pennsylvania,38
Minnesota,38
Connecticut,38
Illinois,37
Oregon,37
Washington,37
South Dakota,35
North Carolina,34
Tennessee,33
Colorado,33
Nebraska,33
New York,33
Michigan,33
Oklahoma,33
Florida,32
New Jersey,32
Delaware,31
Alabama,30
California,28
Massachusetts,25
Virginia,25
Maine,21
Idaho,17
District of Columbia,14
New Hampshire,
