Category: All categories

Region,illegal drugs: (2009)
Montana,100
Wyoming,
Iowa,64
Rhode Island,55
Arkansas,55
Mississippi,52
Missouri,49
West Virginia,48
Indiana,48
New Hampshire,48
Delaware,48
New Mexico,45
Idaho,44
South Carolina,43
Nebraska,43
Alabama,42
Georgia,42
Wisconsin,41
Oklahoma,41
Tennessee,41
Ohio,40
Florida,40
District of Columbia,39
Michigan,39
Maryland,38
Connecticut,38
North Carolina,37
Kentucky,37
Pennsylvania,36
Texas,36
Kansas,36
Alaska,
Minnesota,36
Nevada,33
Louisiana,33
Washington,32
Utah,32
Hawaii,31
New Jersey,31
Oregon,31
Maine,30
New York,30
Illinois,30
Colorado,29
Arizona,28
Vermont,
South Dakota,23
Massachusetts,22
California,20
Virginia,19
North Dakota,
