Category: All categories

Region,illegal drugs: (2004)
Kentucky,100
Montana,91
Arkansas,85
Nevada,81
South Dakota,79
Mississippi,79
North Dakota,
New Mexico,70
Alaska,
Iowa,63
Nebraska,63
Kansas,62
Missouri,50
Indiana,49
Ohio,48
Wisconsin,46
Alabama,45
Minnesota,45
Pennsylvania,43
Utah,43
North Carolina,43
Maine,41
Washington,41
Texas,39
Hawaii,39
Georgia,38
Oregon,38
Illinois,38
Florida,37
New Jersey,37
New Hampshire,36
Louisiana,35
Delaware,35
Michigan,33
Connecticut,32
Colorado,31
District of Columbia,31
Tennessee,30
New York,29
South Carolina,29
Maryland,28
Oklahoma,28
California,27
Virginia,27
Idaho,23
Arizona,19
Massachusetts,17
Rhode Island,
Vermont,
West Virginia,
Wyoming,
