Category: All categories

Region,illegal drugs: (2008)
Wyoming,
Arkansas,100
South Dakota,97
Delaware,90
North Dakota,
Maine,75
Louisiana,73
Idaho,72
Nebraska,71
South Carolina,59
Alaska,
New Mexico,57
Connecticut,57
Iowa,55
Ohio,54
West Virginia,53
Wisconsin,53
Michigan,53
Georgia,52
Kansas,51
Indiana,51
Pennsylvania,50
Tennessee,50
North Carolina,49
Alabama,48
Kentucky,48
Nevada,48
Minnesota,48
Utah,48
Colorado,47
Florida,46
Arizona,46
Texas,46
Washington,45
Missouri,44
New Hampshire,44
Mississippi,44
Illinois,44
Oregon,42
Maryland,42
Rhode Island,40
Hawaii,40
New York,39
Oklahoma,38
New Jersey,35
Virginia,34
California,32
Massachusetts,31
District of Columbia,27
Montana,19
Vermont,
