Category: All categories

Region,illegal drugs: (2012)
Arkansas,100
Delaware,93
Kansas,92
Idaho,85
Iowa,84
West Virginia,83
New Mexico,79
South Carolina,78
Ohio,74
Indiana,73
Mississippi,73
Pennsylvania,70
Wisconsin,70
Kentucky,69
Maryland,67
Virginia,67
Oklahoma,67
Nebraska,66
Tennessee,66
Utah,65
North Carolina,64
Missouri,62
Vermont,
Florida,61
Michigan,60
Minnesota,60
Louisiana,58
North Dakota,
Arizona,58
Hawaii,58
Texas,58
Nevada,57
Illinois,57
New Jersey,57
Alabama,56
Connecticut,56
Colorado,55
Georgia,55
South Dakota,53
Alaska,
Rhode Island,52
New Hampshire,52
California,51
New York,51
Massachusetts,48
District of Columbia,48
Washington,47
Oregon,47
Montana,44
Wyoming,
Maine,42
