Category: All categories

Region,illegal drugs: (2007)
South Dakota,100
Montana,98
Alaska,
Arkansas,91
Idaho,90
New Mexico,87
Mississippi,85
Wyoming,
West Virginia,76
Utah,69
Kansas,66
North Dakota,
Louisiana,62
Rhode Island,59
Georgia,57
Indiana,57
Iowa,56
New Hampshire,54
Pennsylvania,53
Wisconsin,53
Michigan,52
North Carolina,50
Kentucky,50
Maryland,47
Hawaii,47
Alabama,47
Oregon,46
Tennessee,46
Ohio,44
Oklahoma,44
Texas,43
Missouri,43
Washington,43
Minnesota,43
Florida,43
Nevada,43
Arizona,42
South Carolina,42
Colorado,42
New York,40
Connecticut,40
Illinois,39
Nebraska,38
Virginia,37
New Jersey,35
Maine,33
California,32
Massachusetts,30
District of Columbia,29
Delaware,28
Vermont,
