Category: All categories

Region,noose: (2009)
Montana,100
West Virginia,47
Wyoming,45
Maine,37
Ohio,32
Connecticut,32
Louisiana,32
Kansas,31
New Hampshire,30
Pennsylvania,29
Mississippi,29
New Jersey,28
Washington,28
Colorado,27
Missouri,27
Utah,26
Minnesota,25
Iowa,25
Nebraska,25
South Dakota,24
New York,24
Delaware,23
Arizona,23
Texas,23
Oregon,23
Rhode Island,23
Wisconsin,23
Arkansas,22
Tennessee,22
Michigan,22
Illinois,22
Florida,22
Kentucky,22
Idaho,21
New Mexico,21
Indiana,21
Massachusetts,20
North Carolina,20
Georgia,20
District of Columbia,20
South Carolina,20
Alabama,20
California,17
Oklahoma,17
Vermont,17
Alaska,16
Hawaii,16
Nevada,15
Virginia,12
Maryland,12
North Dakota,
