Category: All categories

Region,tylenol overdose: (2013)
Montana,
South Dakota,
Alaska,
Iowa,100
Idaho,
Delaware,
Louisiana,
Tennessee,88
Rhode Island,
Arkansas,
Kansas,
Oklahoma,76
Kentucky,76
Mississippi,
West Virginia,
Ohio,68
Indiana,68
Missouri,68
Arizona,64
Michigan,64
Washington,64
Minnesota,64
Pennsylvania,64
Alabama,60
Maryland,60
Connecticut,60
Wyoming,
Virginia,56
Maine,56
South Carolina,56
Massachusetts,56
North Carolina,56
Utah,56
New Jersey,52
Florida,48
Texas,48
Georgia,48
New York,48
California,48
Illinois,44
Nevada,44
New Hampshire,
Wisconsin,44
Colorado,40
Oregon,40
New Mexico,
Hawaii,
District of Columbia,
North Dakota,
Nebraska,
Vermont,
