Category: All categories

Region,tylenol overdose: (2008)
Vermont,
Indiana,100
New Mexico,
Alaska,
Arizona,75
New Hampshire,
Kansas,
Pennsylvania,64
Wisconsin,64
Georgia,62
Nebraska,
Utah,59
Maryland,59
Oregon,56
Colorado,56
Kentucky,54
Michigan,54
Rhode Island,
Oklahoma,51
New York,48
Ohio,48
Connecticut,48
Virginia,45
Missouri,45
Massachusetts,45
North Carolina,45
Illinois,43
Hawaii,
Louisiana,
Florida,40
Texas,37
District of Columbia,
Washington,35
New Jersey,35
Minnesota,32
South Carolina,32
California,29
Tennessee,27
Alabama,27
Iowa,24
Arkansas,
Delaware,
Idaho,
Maine,
Mississippi,
Montana,
North Dakota,
Nevada,
South Dakota,
West Virginia,
Wyoming,
