Category: All categories

Region,tylenol overdose: (2017)
Arkansas,
West Virginia,
Mississippi,
Vermont,
Wyoming,
North Dakota,
New Hampshire,
Iowa,100
Missouri,94
Oklahoma,89
Utah,89
Indiana,89
South Carolina,84
New Mexico,
Minnesota,84
Maine,84
Connecticut,84
Michigan,84
Tennessee,84
Washington,84
Ohio,84
Hawaii,
Oregon,78
Maryland,78
Alaska,
Colorado,73
Idaho,
Pennsylvania,73
Arizona,73
Kentucky,73
Virginia,73
Texas,68
North Carolina,68
Georgia,68
Illinois,68
Wisconsin,68
New York,63
Montana,
District of Columbia,
Louisiana,
California,57
Nebraska,
Massachusetts,57
New Jersey,57
Alabama,52
Florida,47
Kansas,
South Dakota,
Nevada,36
Delaware,
Rhode Island,
