Category: All categories

Region,tylenol overdose: (2009)
South Dakota,
Alaska,
Delaware,
Arkansas,
Kentucky,100
Oklahoma,88
Alabama,81
Tennessee,81
Rhode Island,
Idaho,
Missouri,72
Indiana,72
Kansas,
Texas,65
Georgia,63
Mississippi,
Wisconsin,56
Maryland,54
Iowa,54
New Mexico,
Minnesota,54
Washington,52
Oregon,52
District of Columbia,
Pennsylvania,50
Illinois,50
Massachusetts,50
Ohio,45
Florida,45
Nevada,43
New York,43
Michigan,40
New Jersey,40
Arizona,38
North Carolina,38
New Hampshire,
Utah,31
California,31
Virginia,29
Colorado,27
Maine,27
Nebraska,
Hawaii,
Louisiana,
South Carolina,20
Connecticut,9
Montana,
North Dakota,
Vermont,
West Virginia,
Wyoming,
