Category: All categories

Region,tylenol overdose: (2007)
New Hampshire,
Wyoming,
South Carolina,100
Nebraska,
South Dakota,
Iowa,90
New Mexico,
Louisiana,
Alaska,
Kentucky,53
Arkansas,
Minnesota,50
Colorado,46
Pennsylvania,42
Hawaii,
Connecticut,40
Florida,38
North Carolina,38
Wisconsin,37
Oregon,35
Texas,31
Virginia,31
Maryland,31
Utah,31
Georgia,31
Tennessee,29
Michigan,29
Alabama,29
Indiana,27
Illinois,27
Ohio,27
Nevada,27
Massachusetts,25
Kansas,
District of Columbia,
Missouri,25
New Jersey,25
New York,24
Arizona,24
Washington,22
California,18
Delaware,
Idaho,
Maine,
Mississippi,
Montana,
North Dakota,
Oklahoma,
Rhode Island,
Vermont,
West Virginia,
