Category: All categories

Region,tylenol overdose: (2019)
Delaware,
Nebraska,
Missouri,100
South Dakota,
Arkansas,
Vermont,
Idaho,
Tennessee,90
Utah,90
Kansas,
Mississippi,
Kentucky,85
Hawaii,
North Dakota,
Alabama,80
Indiana,80
Minnesota,80
West Virginia,
Iowa,70
Colorado,70
Arizona,70
Ohio,70
Virginia,70
Louisiana,
Wisconsin,65
New Mexico,
Michigan,65
Oregon,65
Texas,65
Illinois,60
Oklahoma,60
New Hampshire,
Pennsylvania,60
Wyoming,
Washington,60
Massachusetts,60
Connecticut,55
New York,55
Rhode Island,
North Carolina,50
District of Columbia,
Florida,50
California,50
Georgia,50
South Carolina,50
Nevada,45
New Jersey,45
Maryland,40
Montana,
Maine,20
Alaska,
