Category: All categories

Region,tylenol overdose: (2011)
Iowa,100
Vermont,
Kentucky,83
Rhode Island,
Hawaii,
Delaware,
Wyoming,
Oklahoma,65
Tennessee,62
South Dakota,
Maine,58
Colorado,58
New Hampshire,
Mississippi,
Pennsylvania,51
Arizona,51
Utah,48
Alabama,48
Nevada,46
Louisiana,
Indiana,46
Ohio,46
South Carolina,44
Arkansas,
Georgia,44
Maryland,44
Illinois,44
Alaska,
Michigan,41
District of Columbia,
Virginia,39
Wisconsin,39
New Jersey,39
New York,39
Connecticut,39
Kansas,
Minnesota,37
Florida,37
North Carolina,37
Oregon,37
Missouri,34
Texas,34
Nebraska,
Massachusetts,32
Washington,32
California,30
New Mexico,
West Virginia,
Idaho,
Montana,
North Dakota,
