Category: All categories

Region,tylenol overdose: (2006)
Rhode Island,
Mississippi,
Oklahoma,100
Kentucky,97
Utah,95
Maine,88
Maryland,79
New Mexico,
Kansas,
District of Columbia,
Georgia,59
Hawaii,
Oregon,52
Pennsylvania,52
Connecticut,50
Michigan,47
Texas,45
Missouri,40
Virginia,40
Massachusetts,40
New Jersey,38
California,36
North Carolina,34
Ohio,34
South Carolina,31
Alabama,31
Minnesota,31
Florida,29
Washington,29
New York,27
Arizona,22
Tennessee,22
Wisconsin,20
Indiana,18
Illinois,15
Colorado,13
Alaska,
Arkansas,
Delaware,
Iowa,
Idaho,
Louisiana,
Montana,
North Dakota,
Nebraska,
New Hampshire,
Nevada,
South Dakota,
Vermont,
West Virginia,
Wyoming,
