Category: All categories

Region,Suicide hotline: (2011)
Rhode Island,100
Vermont,83
Wyoming,81
Montana,74
Alaska,72
New Hampshire,63
Arizona,59
Oregon,57
Hawaii,54
Illinois,52
Wisconsin,52
Idaho,51
Colorado,51
Washington,51
District of Columbia,51
Oklahoma,50
Mississippi,50
Ohio,50
California,49
Maryland,48
Tennessee,48
Virginia,48
Utah,46
Michigan,45
Kentucky,44
North Carolina,44
Pennsylvania,44
Indiana,43
South Dakota,43
Connecticut,43
Kansas,43
New York,42
Massachusetts,42
Texas,42
Georgia,41
New Jersey,40
West Virginia,40
Missouri,38
Iowa,37
Nevada,37
Minnesota,37
Arkansas,37
Alabama,34
Florida,34
South Carolina,34
Maine,33
Louisiana,31
North Dakota,29
Nebraska,26
New Mexico,25
Delaware,
