Category: All categories

Region,Coping with stress: (2009)
Louisiana,100
Kentucky,85
Connecticut,71
Maryland,67
Indiana,59
Mississippi,52
Oregon,50
Missouri,48
New Mexico,46
Ohio,46
Michigan,45
Alabama,44
Wisconsin,42
Florida,42
Pennsylvania,38
Kansas,38
Georgia,38
Illinois,36
Tennessee,35
Massachusetts,33
Washington,30
Utah,29
New Jersey,29
Arizona,29
North Carolina,28
Colorado,28
New York,26
Nevada,26
Texas,26
Virginia,22
California,19
South Dakota,
Hawaii,
Maine,
Idaho,
Rhode Island,
District of Columbia,
Alaska,
Oklahoma,
New Hampshire,
South Carolina,
Nebraska,
North Dakota,
Montana,
Minnesota,
Iowa,
Vermont,
Delaware,
Arkansas,
West Virginia,
Wyoming,
