Category: All categories

Region,self-injury: (2015)
Rhode Island,
Montana,
Delaware,
Idaho,
Kansas,
Alabama,
Minnesota,
Nevada,
Maryland,
New Jersey,
Colorado,
Utah,
Pennsylvania,100
Oregon,
Arizona,
Indiana,
Ohio,
Virginia,100
Illinois,100
Washington,
New York,100
North Carolina,100
California,100
District of Columbia,
Texas,<1
Georgia,
Florida,<1
Alaska,
Arkansas,
Connecticut,
Hawaii,
Iowa,
Kentucky,
Louisiana,
Massachusetts,
Maine,
Michigan,
Missouri,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
South Carolina,
South Dakota,
Tennessee,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
