Category: All categories

Region,conversion therapy: (2008)
Montana,100
Idaho,38
Kentucky,36
Nevada,31
Connecticut,15
Arizona,14
Oregon,14
Louisiana,14
Michigan,12
Missouri,11
New Jersey,9
Georgia,9
Indiana,7
Tennessee,6
Ohio,4
Minnesota,4
Pennsylvania,3
Florida,3
Texas,3
Washington,3
California,3
Massachusetts,1
New York,1
Alaska,
Alabama,
Arkansas,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Illinois,
Kansas,
Maryland,
Maine,
Mississippi,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Virginia,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
