Category: All categories

Region,conversion therapy: (2010)
Maine,100
Delaware,27
Louisiana,18
Idaho,16
Iowa,14
Connecticut,8
Maryland,8
Nevada,7
Illinois,6
Oregon,6
Washington,5
South Carolina,4
Tennessee,4
Ohio,4
Pennsylvania,3
Minnesota,3
Massachusetts,3
North Carolina,2
District of Columbia,2
New York,2
Texas,2
Georgia,1
California,1
Florida,1
New Jersey,1
Virginia,<1
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Hawaii,
Indiana,
Kansas,
Kentucky,
Michigan,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Utah,
Vermont,
Wisconsin,
West Virginia,
Wyoming,
