Category: All categories

Region,conversion therapy: (2015)
Montana,100
Delaware,77
Oklahoma,75
Hawaii,69
West Virginia,69
Vermont,63
Idaho,63
Iowa,61
Oregon,58
Connecticut,55
Pennsylvania,52
District of Columbia,50
Ohio,50
Massachusetts,50
Washington,47
Michigan,47
Kentucky,44
Indiana,44
Illinois,44
Arizona,41
New Hampshire,41
Tennessee,38
Wyoming,38
Maine,38
New York,38
Colorado,38
Minnesota,38
Maryland,33
Missouri,33
North Dakota,33
New Jersey,33
Alaska,33
Alabama,30
California,30
New Mexico,30
North Carolina,30
Utah,27
Wisconsin,27
Nevada,27
Nebraska,25
Florida,22
Kansas,22
Virginia,22
Texas,22
Georgia,19
Rhode Island,13
Louisiana,13
Arkansas,11
South Carolina,8
Mississippi,
South Dakota,
