Category: All categories

Region,conversion therapy: (2019)
Utah,100
Maine,42
Wyoming,37
Idaho,32
Minnesota,32
South Dakota,29
Nebraska,27
Colorado,26
District of Columbia,24
Missouri,23
Massachusetts,21
Wisconsin,21
Rhode Island,21
Connecticut,20
New Hampshire,20
Kentucky,19
Delaware,19
Oregon,19
Michigan,19
Washington,19
Arizona,19
Iowa,18
Vermont,18
West Virginia,18
North Dakota,18
Virginia,18
North Carolina,18
Oklahoma,17
Kansas,17
Indiana,17
Hawaii,17
Tennessee,16
Ohio,16
New Mexico,16
New York,15
Maryland,15
Pennsylvania,15
Illinois,15
Montana,15
Arkansas,14
New Jersey,14
Alaska,14
California,13
Louisiana,13
Florida,13
Georgia,13
South Carolina,13
Nevada,12
Alabama,11
Texas,11
Mississippi,10
