Category: All categories

Region,conversion therapy: (2004)
Delaware,100
South Dakota,82
North Dakota,73
Maine,25
Oklahoma,23
Arkansas,21
Louisiana,18
Massachusetts,10
Ohio,5
Virginia,5
Maryland,4
Michigan,3
Florida,3
New York,<1
Alaska,
Alabama,
Arizona,
California,
Colorado,
Connecticut,
District of Columbia,
Georgia,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Oregon,
Pennsylvania,
Rhode Island,
South Carolina,
Tennessee,
Texas,
Utah,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
