Category: All categories

Region,conversion therapy: (2005)
Wyoming,100
Rhode Island,82
Alabama,74
Vermont,66
Louisiana,40
Minnesota,37
Kansas,29
Washington,16
Colorado,15
Arizona,12
North Carolina,12
Georgia,9
Pennsylvania,6
New York,4
New Jersey,4
Texas,4
Alaska,
Arkansas,
California,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kentucky,
Massachusetts,
Maryland,
Maine,
Michigan,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Oregon,
South Carolina,
South Dakota,
Tennessee,
Utah,
Virginia,
Wisconsin,
West Virginia,
