Category: All categories

Region,drug policy: (2011)
Wyoming,
District of Columbia,100
Idaho,88
New Mexico,78
Louisiana,74
West Virginia,73
Delaware,
South Dakota,
Arkansas,67
Virginia,65
North Dakota,
Oklahoma,59
Mississippi,59
Hawaii,
Missouri,58
Vermont,
Colorado,55
Washington,51
Maryland,51
Pennsylvania,51
Iowa,50
Oregon,50
Kentucky,49
Massachusetts,47
Tennessee,47
New Jersey,46
Connecticut,45
Alabama,44
Alaska,
Ohio,43
Utah,43
New York,43
Nevada,41
North Carolina,41
Arizona,41
Kansas,40
Michigan,39
Illinois,38
Indiana,38
Montana,
Florida,36
California,35
Wisconsin,35
Georgia,35
Texas,34
Minnesota,33
South Carolina,32
Rhode Island,25
New Hampshire,23
Maine,16
Nebraska,16
