Category: All categories

Region,drug policy: (2007)
Delaware,
District of Columbia,100
New Hampshire,96
Arkansas,90
Connecticut,75
Idaho,72
Maine,71
Alabama,71
Virginia,71
Michigan,67
Louisiana,66
Maryland,65
Oregon,65
Kentucky,65
North Carolina,64
Minnesota,62
Hawaii,
Massachusetts,60
South Carolina,58
Ohio,58
Rhode Island,57
Indiana,57
Missouri,57
Oklahoma,57
Iowa,56
Pennsylvania,56
New Mexico,55
Washington,55
New York,54
New Jersey,52
South Dakota,
Tennessee,51
Illinois,46
Texas,46
Kansas,43
Arizona,42
California,40
Florida,40
Georgia,39
Wisconsin,38
Utah,38
Alaska,
Montana,
Nevada,35
Nebraska,34
Colorado,30
Mississippi,25
North Dakota,
Vermont,
West Virginia,
Wyoming,
