Category: All categories

Region,drug policy: (2019)
District of Columbia,100
Idaho,50
Alaska,
New Mexico,41
Oklahoma,41
Maryland,40
Oregon,38
Kentucky,38
Massachusetts,36
Colorado,36
New Hampshire,35
Kansas,35
North Dakota,
Virginia,34
Rhode Island,34
Pennsylvania,33
Maine,33
Arkansas,32
Vermont,
West Virginia,32
Indiana,31
Ohio,31
Nevada,30
Connecticut,30
Tennessee,30
Iowa,30
Nebraska,29
Michigan,29
Utah,28
Mississippi,28
Washington,28
Minnesota,28
Texas,28
Illinois,27
South Carolina,27
New York,27
Wisconsin,27
North Carolina,26
Missouri,26
Arizona,26
Alabama,26
California,26
Georgia,26
Montana,
Florida,24
New Jersey,24
Louisiana,24
Hawaii,
Delaware,
South Dakota,
Wyoming,
