Category: All categories

Region,drug policy: (2006)
New Mexico,100
Nebraska,91
District of Columbia,89
Maryland,80
Virginia,79
New Hampshire,78
Mississippi,78
Alaska,
Indiana,76
Kansas,76
Oklahoma,75
Hawaii,
Pennsylvania,69
New Jersey,68
South Carolina,68
Montana,
Oregon,66
North Dakota,
Ohio,62
Massachusetts,61
Rhode Island,58
California,58
New York,57
Nevada,57
South Dakota,
Texas,55
Washington,55
Illinois,54
Minnesota,53
Iowa,53
North Carolina,52
Wisconsin,50
Connecticut,48
Missouri,47
Colorado,45
Michigan,44
Vermont,
Kentucky,43
Tennessee,41
Georgia,40
Florida,39
Arizona,34
Alabama,32
Utah,32
Louisiana,23
Arkansas,
Delaware,
Idaho,
Maine,
West Virginia,
Wyoming,
