Category: All categories

Region,drug policy: (2012)
Montana,
Vermont,
New Mexico,100
Delaware,
District of Columbia,97
Kentucky,91
Oklahoma,91
Idaho,89
Virginia,85
Rhode Island,82
Wyoming,
Indiana,77
Colorado,76
Maryland,75
Arkansas,73
Iowa,73
Mississippi,72
Alabama,72
Oregon,70
Pennsylvania,70
Wisconsin,67
Connecticut,67
North Carolina,66
Hawaii,
Alaska,
Washington,63
Arizona,63
Michigan,61
Kansas,60
Georgia,58
Massachusetts,58
New Jersey,57
North Dakota,
Nevada,57
Ohio,55
New Hampshire,54
Tennessee,52
Florida,52
New York,51
Illinois,51
Texas,50
Missouri,50
South Carolina,48
Nebraska,48
Minnesota,47
West Virginia,45
California,44
Utah,44
Louisiana,44
Maine,41
South Dakota,
