Category: All categories

Region,drug policy: (2013)
District of Columbia,100
New Mexico,82
West Virginia,81
Idaho,81
Vermont,
Kentucky,65
Iowa,65
Delaware,
Maine,60
Alabama,59
Pennsylvania,59
Wyoming,
Virginia,58
Colorado,57
North Dakota,
Arkansas,52
Indiana,52
Hawaii,
South Dakota,
Rhode Island,51
Oklahoma,51
Ohio,51
North Carolina,50
Washington,50
New Hampshire,50
Utah,49
Massachusetts,49
Tennessee,48
Louisiana,48
Michigan,47
New York,47
Maryland,45
Connecticut,45
Nevada,45
New Jersey,44
Missouri,44
Montana,
Mississippi,43
South Carolina,43
Arizona,43
Kansas,43
Nebraska,43
Minnesota,43
Illinois,41
Georgia,41
Florida,40
Wisconsin,40
California,39
Texas,36
Oregon,31
Alaska,
