Category: All categories

Region,drug policy: (2017)
District of Columbia,100
Alaska,
Wyoming,
Maryland,66
New Mexico,62
West Virginia,59
Delaware,
Virginia,56
Kentucky,56
Oregon,55
Vermont,
Nevada,54
North Dakota,
Idaho,54
Colorado,54
Pennsylvania,51
Maine,51
Massachusetts,50
Washington,49
Arkansas,49
New York,49
Mississippi,48
Indiana,48
Connecticut,47
South Carolina,47
Ohio,47
Nebraska,45
Wisconsin,42
Oklahoma,42
Missouri,42
New Jersey,42
Iowa,42
Arizona,42
Illinois,40
Utah,39
Tennessee,39
Michigan,39
Alabama,39
Texas,39
Minnesota,39
Montana,
New Hampshire,39
South Dakota,
Georgia,37
North Carolina,37
Florida,36
Kansas,35
California,35
Louisiana,34
Rhode Island,33
Hawaii,
