Category: All categories

Region,drug policy: (2021)
District of Columbia,100
Wyoming,
Oklahoma,89
Idaho,82
West Virginia,75
North Dakota,
Arkansas,71
Delaware,
Colorado,68
Vermont,
Ohio,63
Maryland,63
South Dakota,
Nevada,61
Virginia,61
New Mexico,61
Louisiana,61
South Carolina,59
Arizona,57
Washington,56
Maine,54
Rhode Island,54
Missouri,54
Pennsylvania,52
New Hampshire,52
Kentucky,52
Connecticut,50
Mississippi,50
Oregon,50
Hawaii,
Massachusetts,49
Indiana,49
Alabama,49
North Carolina,47
Illinois,47
Georgia,47
Tennessee,45
Utah,45
Michigan,45
Wisconsin,45
Texas,43
Nebraska,43
Florida,43
Alaska,
Montana,
Iowa,42
Kansas,42
New York,42
California,38
Minnesota,38
New Jersey,36
