Category: All categories

Region,tylenol overdose: (2020)
Wyoming,
South Dakota,
Idaho,
West Virginia,
Nebraska,
New Hampshire,
Oklahoma,100
Kansas,
Utah,94
Missouri,88
Minnesota,88
Arkansas,
Alabama,88
Connecticut,88
Nevada,88
Tennessee,82
Washington,82
Wisconsin,82
Colorado,82
Kentucky,82
Alaska,
South Carolina,76
Iowa,76
Pennsylvania,76
Maine,76
Indiana,76
Oregon,70
Montana,
Vermont,
Georgia,70
Michigan,70
Illinois,70
Arizona,64
New Mexico,
Louisiana,
Rhode Island,
Texas,64
Massachusetts,64
North Dakota,
Virginia,64
Florida,58
Ohio,58
California,58
North Carolina,58
New York,58
Maryland,52
New Jersey,52
District of Columbia,
Delaware,
Mississippi,
Hawaii,
