Category: All categories

Region,tylenol overdose: (2015)
North Dakota,
Idaho,
Vermont,
Montana,
New Mexico,
West Virginia,
Indiana,100
Hawaii,
Missouri,95
Wyoming,
South Dakota,
Washington,85
Utah,80
South Carolina,80
Maine,80
Mississippi,
Ohio,76
Nevada,76
Oklahoma,76
Illinois,76
Wisconsin,71
Nebraska,
Tennessee,71
Arkansas,
Michigan,71
Arizona,71
Minnesota,71
Colorado,71
Texas,66
North Carolina,66
Pennsylvania,66
Alaska,
Maryland,66
District of Columbia,
Iowa,61
Alabama,61
New Hampshire,
Kentucky,61
Massachusetts,57
Georgia,57
Louisiana,
California,52
New York,52
Florida,52
Delaware,
Connecticut,47
Kansas,
Virginia,42
Oregon,38
New Jersey,33
Rhode Island,
