Category: All categories

Region,tylenol overdose: (2014)
North Dakota,
Alaska,
South Dakota,
West Virginia,
Montana,
Iowa,100
Oklahoma,95
Idaho,
Colorado,81
New Mexico,
Alabama,81
Indiana,77
Pennsylvania,77
Tennessee,77
Illinois,77
Nebraska,
Michigan,77
South Carolina,72
New Hampshire,
Arizona,72
Kentucky,72
Ohio,72
Nevada,68
Washington,68
North Carolina,68
Utah,68
Minnesota,68
Missouri,63
Georgia,63
Kansas,
Texas,59
Hawaii,
Wisconsin,59
Louisiana,
Massachusetts,54
Connecticut,54
Florida,54
Maine,54
Arkansas,
District of Columbia,
California,45
Maryland,45
Oregon,45
New York,45
New Jersey,45
Vermont,
Mississippi,
Virginia,36
Rhode Island,
Delaware,
Wyoming,
