Category: All categories

Region,tylenol overdose: (2010)
Idaho,
Wyoming,
Delaware,
Kentucky,100
Nebraska,
Mississippi,
Iowa,90
Maine,78
Nevada,66
Maryland,59
Pennsylvania,59
Minnesota,59
Washington,57
Kansas,
Ohio,54
Colorado,54
South Carolina,50
Massachusetts,47
Rhode Island,
Louisiana,
Missouri,45
New Jersey,45
North Carolina,45
Texas,45
Wisconsin,45
Michigan,40
Florida,40
Connecticut,40
Tennessee,40
Oregon,38
Indiana,38
Georgia,38
New York,38
Illinois,38
Arkansas,
New Hampshire,
Utah,28
Arizona,26
Virginia,26
District of Columbia,
California,21
Vermont,
Oklahoma,19
Alaska,
Alabama,
Hawaii,
Montana,
North Dakota,
New Mexico,
South Dakota,
West Virginia,
