Category: All categories

Region,tylenol overdose: (2016)
Wyoming,
West Virginia,
Mississippi,
Arkansas,
Oklahoma,100
Tennessee,95
Michigan,90
Alaska,
Delaware,
South Dakota,
Hawaii,
Idaho,
Georgia,76
District of Columbia,
Colorado,76
Pennsylvania,71
Minnesota,71
Iowa,71
Connecticut,71
Kansas,
Nebraska,
Ohio,71
Maine,71
Utah,66
Alabama,66
Massachusetts,66
Nevada,66
Oregon,66
Missouri,66
Kentucky,61
Virginia,61
Illinois,57
New York,57
Indiana,57
Arizona,57
Texas,57
North Carolina,57
New Jersey,57
Washington,52
Maryland,52
South Carolina,52
Florida,52
California,47
Louisiana,
Wisconsin,47
North Dakota,
Montana,
New Mexico,
New Hampshire,
Rhode Island,
Vermont,
