Category: All categories

Region,tylenol overdose: (2012)
Wyoming,
South Dakota,
Nebraska,
Delaware,
North Dakota,
New Hampshire,
Kansas,
Maine,100
Kentucky,96
Missouri,88
Indiana,88
West Virginia,
Michigan,84
Vermont,
New Mexico,
Ohio,80
Arizona,80
Tennessee,76
Iowa,76
Montana,
Nevada,72
New Jersey,72
Minnesota,72
Virginia,68
Alaska,
Pennsylvania,68
Utah,68
Wisconsin,68
Georgia,68
Texas,64
Massachusetts,64
Illinois,64
Louisiana,
Arkansas,
Alabama,60
North Carolina,60
Washington,60
Idaho,
Colorado,56
Florida,56
New York,52
California,48
Rhode Island,
Maryland,48
Oregon,48
Hawaii,
District of Columbia,
Mississippi,
Oklahoma,40
Connecticut,36
South Carolina,8
