Category: All categories

Region,tylenol overdose: (2021)
Wyoming,
District of Columbia,
Rhode Island,
West Virginia,
South Dakota,
Nebraska,
Idaho,
Hawaii,
Oregon,100
Kentucky,100
Wisconsin,100
Tennessee,94
Pennsylvania,94
Colorado,94
Oklahoma,88
Arizona,88
Nevada,83
North Dakota,
Utah,83
Texas,83
Massachusetts,83
Connecticut,77
Missouri,77
Alabama,77
Louisiana,
Arkansas,
Ohio,72
Michigan,72
Georgia,72
North Carolina,72
Minnesota,72
Kansas,
South Carolina,66
New Jersey,66
Indiana,66
Illinois,66
Maryland,66
California,66
New York,66
New Hampshire,
New Mexico,
Iowa,55
Florida,55
Virginia,55
Washington,55
Maine,55
Vermont,
Delaware,
Mississippi,
Montana,
Alaska,
