Category: All categories

Region,tylenol overdose: (2018)
South Dakota,
Wyoming,
Vermont,
West Virginia,
Alaska,
Montana,
Kansas,
Missouri,100
Tennessee,100
Ohio,94
Utah,94
Louisiana,
Nevada,94
Indiana,89
Minnesota,89
New Mexico,
Colorado,84
Oklahoma,84
Nebraska,
Mississippi,
Wisconsin,84
Idaho,
Georgia,78
Washington,78
Michigan,73
Oregon,73
Maryland,73
Pennsylvania,73
North Dakota,
New Hampshire,
Kentucky,68
Hawaii,
Texas,68
Illinois,63
Arkansas,
New York,63
Virginia,63
Arizona,63
South Carolina,63
Florida,57
Connecticut,57
California,57
Massachusetts,52
Iowa,52
North Carolina,52
Rhode Island,
New Jersey,42
Alabama,42
Maine,31
Delaware,
District of Columbia,
