Category: All categories

Region,antidepressants: (2010)
North Dakota,100
Alaska,76
New Mexico,73
West Virginia,70
Tennessee,67
Idaho,67
South Dakota,66
Kentucky,65
Rhode Island,64
Iowa,60
Kansas,60
Minnesota,59
Colorado,59
Oregon,58
Indiana,57
Missouri,57
South Carolina,57
Connecticut,56
Pennsylvania,55
Utah,55
Oklahoma,55
Michigan,55
Montana,55
Washington,54
Massachusetts,54
Alabama,54
North Carolina,51
Arkansas,50
Wisconsin,50
Delaware,48
Ohio,48
Mississippi,48
Nebraska,47
Louisiana,47
New Jersey,46
Maine,46
Wyoming,46
Georgia,46
Maryland,44
New Hampshire,43
New York,43
Arizona,42
Illinois,42
Texas,41
District of Columbia,40
Florida,40
Nevada,39
Vermont,34
Hawaii,31
California,23
Virginia,20
