Category: All categories

Region,antidepressants: (2009)
North Dakota,100
West Virginia,100
South Dakota,88
Idaho,81
Alaska,79
New Mexico,74
Montana,71
Utah,70
Minnesota,70
Tennessee,70
Delaware,68
Kentucky,68
South Carolina,68
Alabama,65
Iowa,64
Pennsylvania,64
Oklahoma,63
New Hampshire,62
Louisiana,62
Michigan,62
Kansas,62
Nebraska,61
Oregon,61
Georgia,60
Ohio,60
Connecticut,60
Washington,59
Wisconsin,59
Vermont,58
Massachusetts,58
North Carolina,57
Missouri,57
Wyoming,57
Colorado,56
Arizona,55
Rhode Island,55
Arkansas,54
Nevada,53
Illinois,51
Maryland,51
Maine,51
New Jersey,51
Indiana,49
District of Columbia,49
Mississippi,48
New York,48
Texas,47
Florida,45
Hawaii,38
California,33
Virginia,29
